site_code,name,is_neon,lat,lon,igbp,veg,koeppen,map_mm,mat_c,data_start,data_end,domainID,domainName
US-xAB,NEON Abby Road,True,45.7624,-122.3303,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,2450.59,10,2017,2024,D16,Pacific Northwest
US-xAE,NEON Klemme Range Research Station,True,35.4106,-99.0588,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,778.85,15.5,2017,2024,D11,Southern Plains
US-xBL,NEON Blandy Experimental Farm,True,39.0603,-78.0716,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,982.55,12.1,2017,2024,D02,Mid Atlantic
US-xBR,NEON Bartlett Experimental Forest,True,44.0639,-71.2873,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,1246,5.6,2017,2024,D01,Northeast
US-xCL,NEON LBJ National Grassland,True,33.4012,-97.57,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,925.61,17.5,2017,2024,D11,Southern Plains
US-xCP,NEON Central Plains Experimental Range,True,40.8155,-104.7456,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,320,8.6,2016,2024,D10,Central Plains
US-xDC,NEON Dakota Coteau Field School,True,47.1617,-99.1066,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,489.74,4.9,2017,2024,D09,Northern Plains
US-xDL,NEON Dead Lake,True,32.5417,-87.8039,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Cfa,1372,17.6,2017,2024,D08,Ozarks Complex
US-xDS,NEON Disney Wilderness Preserve,True,28.125,-81.4362,CVM,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,1216.09,22.5,2017,2024,D03,Southeast
US-xGR,NEON Great Smoky Mountains National Park,True,35.689,-83.5019,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1375,13.1,2017,2024,D07,Appalachians / Cumberland Plateau
